VehRegNo,DistanceTraveled
118-6956,0.0
118-6956,0.0
118-7026,8685.0
118-7026,8685.0
118-7026,8685.0
118-7026,8685.0
118-7026,8685.0
118-7026,8685.0
118-7325,300.0
118-7325,344.0
118-7325,344.0
118-7325,300.0
118-7325,344.0
118-7325,344.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7535,0.0
118-7907,0.0
118-7907,0.0
118-7907,0.0
118-7907,0.0
118-8437,6078.0
118-8437,6078.0
118-9819,1183.0
118-9819,1183.0
119-1137,14884.0
119-1395,34660.0
119-4901,0.0
119-5675,0.0
119-5744,9411.0
119-5744,9411.0
119-6905,0.0
119-6905,0.0
119-8745,0.0
119-8745,0.0
119-8745,0.0
12-0409,56193.0
12-0409,56193.0
12-0409,56193.0
12-0868,160107.0
12-0868,160107.0
12-1271,61014.0
12-1405,0.0
12-1405,0.0
12-1405,0.0
12-1484,713.0
12-1484,713.0
12-1582,0.0
12-1637,68947.0
12-1637,68947.0
12-1637,68947.0
12-1637,68947.0
121-2295,1745.0
121-2295,1745.0
121-2295,1743.0
121-2295,1743.0
121-2295,1735.0
121-2295,1735.0
121-6304,14.0
121-6304,14.0
122-4754,4.0
122-4754,4.0
123-0224,1337.0
123-0224,1337.0
123-7787,5345.0
123-8384,0.0
123-8384,0.0
123-8384,0.0
123-8384,0.0
123-8992,2.0
124-1783,59268.0
124-2171,5.0
124-2171,5.0
124-2171,5.0
124-2171,0.0
124-2171,0.0
124-2171,0.0
124-2171,5.0
124-2171,5.0
124-2171,5.0
124-2371,10.0
124-2371,10.0
124-2412,74155.0
124-2412,74155.0
124-2412,74155.0
124-2412,74155.0
124-2412,74155.0
124-2412,74155.0
124-2412,74155.0
124-2412,74155.0
124-2412,74155.0
124-2412,74155.0
124-2470,0.0
124-3185,0.0
124-3862,0.0
124-3862,0.0
124-4051,0.0
124-4123,0.0
124-4367,3289.0
124-4367,3289.0
124-4367,3309.0
124-4367,3282.0
124-4367,3282.0
124-4367,3302.0
124-5144,0.0
124-5144,0.0
124-5599,6409.0
124-5655,9401.0
124-5655,9402.0
124-7388,3887.0
124-7449,87736.0
124-7455,5506.0
124-7466,0.0
124-7625,0.0
124-7704,9327.0
124-7704,9327.0
124-7896,0.0
124-7896,0.0
124-7922,0.0
124-7922,0.0
124-8446,10989.0
124-8446,10989.0
124-8795,1.0
124-8795,1.0
124-8814,3.0
124-8814,3.0
124-9026,7215.0
124-9026,7243.0
124-9322,43226.0
124-9322,43226.0
124-9322,43226.0
124-9322,43226.0
124-9322,43226.0
124-9322,43226.0
124-9703,1379.0
124-9703,1379.0
124-9909,811.0
124-9909,811.0
124-9909,811.0
124-9909,47782.0
125-0607,25571.0
125-0607,25572.0
125-0607,25571.0
125-0607,25572.0
125-0607,25571.0
125-0607,25572.0
125-0884,0.0
125-0884,0.0
125-0884,0.0
125-0884,0.0
125-1279,0.0
125-1382,1.0
125-1819,7576.0
125-1819,7576.0
125-1819,7576.0
125-1819,7576.0
125-2687,0.0
125-2687,0.0
125-2687,0.0
125-2687,0.0
125-3285,83179.0
125-3285,83179.0
125-3365,0.0
125-3365,0.0
125-3365,0.0
125-3419,0.0
125-3419,0.0
125-3419,0.0
125-3421,6385.0
125-3421,6385.0
125-3484,0.0
125-3484,0.0
125-4049,0.0
125-5846,0.0
125-6544,342.0
125-6544,342.0
125-6544,342.0
125-6544,342.0
125-6544,342.0
125-6544,342.0
125-6544,321.0
125-6544,321.0
129-7867,2327.0
129-7867,2327.0
13-0661,1220.0
13-0719,555946.0
13-0719,555946.0
13-0719,555946.0
13-0719,555946.0
13-0719,555946.0
13-0719,555897.0
13-0719,555878.0
13-0884,682546.0
13-0916,141041.0
13-0916,3416.0
13-0916,3416.0
13-0916,32261.0
13-0916,105364.0
13-0916,105364.0
13-0988,2002.0
13-1021,158060.0
13-1046,2297.0
13-1046,2297.0
13-1046,2297.0
13-1046,2297.0
13-1046,2244.0
13-1046,2244.0
13-1066,1612.0
13-1067,887.0
13-1957,21847.0
13-3863,13212.0
13-3863,13193.0
13-3863,13175.0
13-4973,2387.0
13-4973,2354.0
13-5018,103325.0
13-5018,103325.0
13-5066,12999.0
13-5066,12999.0
13-5066,12999.0
13-5066,12999.0
13-5123,24465.0
13-5147,37944.0
13-5147,37944.0
13-5167,1902.0
13-5167,1915.0
13-5167,1902.0
13-5167,1915.0
13-5167,1902.0
13-5167,1915.0
13-5167,1842.0
13-5167,1855.0
13-5167,1842.0
13-5167,1855.0
13-5563,3519.0
13-5563,3519.0
13-6030,2442.0
13-6030,2442.0
13-6030,2442.0
13-6030,2442.0
13-6334,476.0
13-8829,8640.0
13-8829,8716.0
13-9789,2691.0
13-9789,2691.0
13-9789,2691.0
13-9789,2691.0
13-9789,2691.0
13-9789,241697.0
130-0073,0.0
130-5165,2.0
130-5165,298.0
130-5165,0.0
130-5165,2.0
130-5165,298.0
130-5165,0.0
130-6708,0.0
130-6708,0.0
130-6708,0.0
130-6708,0.0
130-7097,0.0
130-7710,0.0
130-7710,0.0
130-7710,0.0
130-7710,0.0
130-7833,31251.0
130-7833,31251.0
130-7833,31251.0
130-7833,31251.0
130-7833,31251.0
130-7833,31251.0
130-8073,0.0
130-8073,0.0
130-8073,0.0
130-8073,0.0
130-8124,652702.0
130-8124,652702.0
130-8424,1970.0
130-8485,2.0
130-8664,0.0
130-8664,0.0
130-8798,1.0
130-8909,0.0
130-9063,300.0
130-9063,300.0
130-9063,309.0
130-9063,304.0
130-9063,304.0
130-9063,300.0
130-9063,300.0
130-9063,309.0
130-9063,304.0
130-9063,304.0
130-9514,6993.0
130-9514,6991.0
130-9514,6993.0
130-9514,6991.0
130-9514,6993.0
130-9514,6991.0
130-9514,6993.0
130-9514,6991.0
130-9514,6993.0
130-9514,6991.0
130-9543,4201.0
130-9543,4144.0
130-9543,4144.0
130-9543,4291.0
130-9543,4291.0
130-9543,4291.0
130-9684,42000.0
130-9684,42000.0
130-9778,0.0
130-9778,0.0
130-9778,0.0
130-9778,0.0
130-9778,0.0
130-9778,0.0
130-9857,0.0
130-9857,0.0
130-9978,5.0
131-0161,5237.0
131-0522,46296.0
131-0522,46296.0
131-0522,46296.0
131-0522,46296.0
131-0522,46296.0
131-0522,46296.0
131-0592,22.0
131-0592,22.0
131-0592,22.0
131-0598,914.0
131-0598,935.0
131-0598,914.0
131-0598,935.0
131-0733,0.0
131-0733,0.0
131-0733,0.0
131-0733,0.0
131-0733,0.0
131-0733,0.0
131-0733,0.0
131-0733,0.0
131-0733,0.0
131-0733,499.0
131-0733,499.0
131-0733,499.0
131-0809,2236.0
131-0809,2236.0
131-1100,0.0
131-1100,0.0
131-1322,62154.0
131-1322,62154.0
131-1322,62154.0
131-1322,62154.0
131-1322,62154.0
131-1322,62154.0
131-1348,78.0
131-1456,0.0
131-1456,0.0
131-1864,0.0
131-1864,0.0
131-1864,0.0
131-1872,8610.0
131-1877,0.0
131-1877,0.0
131-1889,4.0
131-2140,5.0
131-2140,5.0
131-2140,5.0
131-2601,3.0
131-2636,5849.0
131-2636,154.0
131-2636,154.0
131-2788,4807.0
131-2788,4809.0
131-2788,4807.0
131-2788,4809.0
131-2875,3142.0
131-2875,3138.0
131-2875,3138.0
131-2875,3136.0
131-2875,3136.0
131-2875,3142.0
131-2875,3138.0
131-2875,3138.0
131-2875,3136.0
131-2875,3136.0
131-2983,366.0
131-2983,367.0
131-2983,366.0
131-2983,367.0
131-2983,366.0
131-2983,367.0
131-3145,73300.0
131-3145,73300.0
131-3359,1639.0
131-3359,1635.0
131-3381,83229.0
131-3419,1.0
131-3419,7.0
131-3419,
131-3419,2.0
131-3419,1.0
131-3419,7.0
131-3419,
131-3419,2.0
131-3561,8.0
131-3561,8.0
131-3755,21730.0
131-3797,1.0
131-3902,1320.0
131-3902,1320.0
131-3964,53100.0
131-4135,0.0
131-4453,0.0
131-4572,0.0
131-4983,1308.0
131-4983,1302.0
131-5246,136.0
131-5246,136.0
131-5246,136.0
131-6075,4225.0
131-6828,4804.0
131-6828,4804.0
131-6828,4804.0
131-6981,18153.0
131-6981,18153.0
131-7704,42255.0
131-7704,42255.0
131-7704,42255.0
131-7976,30050.0
131-7976,30050.0
131-8108,0.0
131-8108,0.0
131-8108,0.0
131-8313,0.0
131-8313,0.0
131-8313,0.0
131-8313,0.0
131-9519,0.0
132-1665,80161.0
132-1665,2749.0
132-1665,2749.0
132-1858,50038.0
132-1858,50038.0
132-1858,50038.0
132-1858,50038.0
132-1858,50038.0
132-1858,50038.0
132-1858,50038.0
132-1858,50038.0
132-1858,50038.0
132-1858,50038.0
132-1858,50038.0
132-1858,50038.0
132-1858,50038.0
132-1858,50038.0
132-1858,50038.0
132-1967,1.0
132-1967,201.0
132-1967,17246.0
132-1967,1.0
132-1967,201.0
132-1967,17246.0
132-2352,0.0
132-2352,0.0
132-2352,0.0
132-2352,0.0
132-2352,0.0
132-2352,0.0
132-3052,665836.0
132-3052,665836.0
132-3052,6658363.0
132-3052,665836.0
132-3052,665836.0
132-3052,6658363.0
132-4158,33998.0
132-4158,33998.0
132-4158,33998.0
132-4158,33998.0
132-4158,33998.0
132-4158,33998.0
132-8582,0.0
132-8582,0.0
134-8046,0.0
135-5786,3432.0
135-7146,0.0
135-7834,1.0
135-8646,289.0
135-8876,77430.0
135-8876,77430.0
135-8876,77430.0
136-0184,0.0
136-0242,639872.0
136-0338,0.0
136-0338,0.0
136-0593,4360.0
136-0802,0.0
136-1239,3399.0
136-1239,3402.0
136-1270,10000.0
136-1270,339994.0
136-1270,10000.0
136-1270,10000.0
136-1270,339994.0
136-1270,10000.0
136-1270,10000.0
136-1270,339994.0
136-1270,10000.0
136-1364,0.0
136-1472,34.0
136-1472,34.0
136-1850,2.0
136-1851,0.0
136-1851,0.0
136-1851,0.0
136-1851,79824.0
136-1851,79824.0
136-1851,0.0
136-1851,0.0
136-1851,0.0
136-1851,79824.0
136-1851,79824.0
136-1851,0.0
136-1851,0.0
136-1851,0.0
136-1851,79824.0
136-1851,79824.0
136-2019,18497.0
136-2119,56967.0
136-2119,56967.0
136-2119,56967.0
136-2119,56967.0
136-2346,1.0
136-2716,1.0
136-2716,1.0
136-2716,1.0
136-2716,1.0
136-2716,1.0
136-2716,1.0
136-2716,1.0
136-2716,1.0
136-2747,0.0
136-2747,0.0
136-2747,0.0
136-2747,0.0
136-2767,3439.0
136-2767,3440.0
136-2767,3438.0
136-2767,3439.0
136-2869,3.0
136-2869,3.0
136-2869,3.0
136-3385,0.0
136-3385,0.0
136-3385,0.0
136-3617,2.0
136-3617,2.0
136-3617,2.0
136-3617,2.0
136-3617,2.0
136-3617,2.0
136-3697,61010.0
136-3697,61010.0
136-3824,576.0
136-3824,576.0
136-3824,1000.0
136-3824,1000.0
136-3824,576.0
136-3824,576.0
136-3932,0.0
136-3932,0.0
136-3932,0.0
136-3932,0.0
136-4760,0.0
136-4760,0.0
136-4760,
136-6245,42063.0
136-6806,0.0
136-6806,
136-6806,0.0
136-6806,0.0
136-7932,11781.0
136-7932,11781.0
136-7932,5834.0
136-8205,1929.0
137-5922,3009.0
137-7757,3322.0
137-7757,3322.0
137-7757,3322.0
137-7757,3322.0
137-7757,3322.0
137-7757,3322.0
137-7757,3322.0
137-7757,3322.0
137-7757,3322.0
139-1274,0.0
139-1274,0.0
139-2135,0.0
139-2135,0.0
139-6311,54.0
139-6315,4210.0
139-6315,4214.0
139-6315,4219.0
139-6315,4210.0
139-6315,4214.0
139-6315,4219.0
139-6565,2777.0
139-6565,2777.0
139-6565,498620.0
139-6817,2288.0
139-6926,88207.0
139-7936,0.0
139-8376,50000.0
139-8376,30009.0
139-8376,50000.0
139-8376,30009.0
139-8376,50000.0
139-8376,30009.0
139-8376,50000.0
139-8376,30009.0
139-8376,50000.0
139-8376,30009.0
139-8396,1980.0
139-8870,3640.0
139-8947,65263.0
139-8947,65263.0
139-9081,6.0
139-9141,50.0
139-9141,50.0
139-9141,50.0
139-9141,50.0
139-9364,31.0
139-9364,31.0
139-9464,0.0
139-9523,0.0
139-9523,0.0
139-9552,0.0
